shooter,target,shell,effect,distance_m,side,height_m,offset_m,first_surface,first_result,damage_events,crew_alive,modules,terminal
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,front,1.2,-0.45,hull_1_1,penetrated,1,5,engine,damage_budget_exhausted
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,front,1.2,0.45,hull_1_0,penetrated,1,5,engine,damage_budget_exhausted
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,front,2.1,-0.45,fixed_gun_shield_1,penetrated,0,5,,armor_stopped
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,front,2.1,0.45,fixed_gun_shield_3,penetrated,0,5,,armor_stopped
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,right,1.2,-0.45,hull_1_3,penetrated,0,5,,expired_distance
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,right,1.2,0.45,hull_1_2,penetrated,0,5,,expired_distance
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,right,2.1,-0.45,turret_wall_4,penetrated,0,5,,armor_stopped
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,right,2.1,0.45,turret_wall_2,penetrated,0,5,,armor_stopped
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,rear,1.2,-0.45,hull_1_5,penetrated,1,5,engine,armor_stopped
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,rear,1.2,0.45,hull_1_4,penetrated,1,5,engine,armor_stopped
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,rear,2.1,-0.45,turret_wall_8,penetrated,1,4,,armor_stopped
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,rear,2.1,0.45,turret_wall_6,penetrated,1,4,,armor_stopped
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,left,1.2,-0.45,hull_1_7,penetrated,0,5,,expired_distance
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,left,1.2,0.45,hull_1_6,penetrated,0,5,,expired_distance
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,left,2.1,-0.45,turret_wall_12,penetrated,0,5,,armor_stopped
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,100.0,left,2.1,0.45,turret_wall_10,penetrated,0,5,,armor_stopped
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,500.0,front,1.2,-0.45,hull_1_1,stopped,0,5,,armor_stopped
us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944,us_m4a3_75w_vvss_1944_shell,kinetic,500.0,front,1.2,0.45,hull_1_0,stopped,0,5,,armor_stopped
